[ 112,  152] 言い換え類義 Paraphrases
[ 114, 1196] 1
[ 184,  224] の言葉に意味が最も近いものを、
[ 186,  558] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 275,  191] 的さんは純えず笑顔でクラスの夢齢気を明るくしてくれる。
[ 275,  197] たたか
[ 320, 1198] 豊
[ 328,  200] なるべく
[ 330,  420] やがて
[ 330,  638] ずいぶん
[ 330,  856] いつも
[ 333,  385] 2
[ 333,  603] 3
[ 403, 1201] 昌
[ 416,  189] 今日は単語をたくさん暗記した。
[ 462,  200] 調べた
[ 462,  418] 覚えた
[ 462,  635] 練習した
[ 462,  856] 誠験した
[ 465,  385] 2
[ 465,  603] 3
[ 541,  187] 社長は珍しい樋のネクタイを何木も持っている。
[ 589,  199] 模様
[ 594,  382] 2 形
[ 594,  600] 3 様子
[ 596,  856] 生地
[ 682,  188] 彼らは; 険しい山道を何時間も歩き続けてやっと頂上に着いた。
[ 728,  202] 巨大な
[ 728,  384] 2 急な
[ 728,  602] 3 苦しい
[ 728,  854] 限りない
[ 730,  820] 4
[ 816,  187] 80歳の祖父は活発な人で;
[ 816,  458] 毎日仲間と出かけていく。
[ 853,  215] くし
[ 858,  200] 特殊な
[ 860,  416] 若々しい
[ 860,  854] 勇ましい
[ 862,  384] 2
[ 862,  638] 元気な
[1668, 1098] 35
