[ 108,  910] 目標解答時間 10分
[ 112,    9] 1
[ 113,  140] 第1週
[ 116,  342] 4日目
[ 162, 1076] 日
[ 201,  121] 漢字読み Kanjireading
[ 276,  198] の言葉の読み方として最もよいものを、
[ 276,  598] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 昌
[ 374,  164] この機械の操佐方法は; 説明書に書いてあります。
[ 417,  139] 1 そうさく
[ 418,  574] 3 こうさく
[ 420,  355] 2 そうさ
[ 420,  830] こうさ
[ 422,  792] 4
[ 495,  273] 豊富な常衛えを売りにしている。
[ 508,  164] この店は;
[ 552,  174] こうふ
[ 552,  392] こうふう
[ 552,  610] ほうふ
[ 552,  828] ほうふう
[ 554,  138] 1
[ 554,  356] 2
[ 555,  575] 3
[ 640,  164] その家は離もいないようで 物竜ひとつしない。
[ 685,  175] ものおと
[ 685,  830] ぶつおん
[ 686,  394] ものおん
[ 686,  610] ぶつおと
[ 689,  357] 2
[ 689,  575] 3
[ 769,  160] 割れたガラスの磁位で指を切ってしまった。
[ 818,  176] ひかた
[ 818,  610] はかた
[ 818,  828] はへん
[ 820,  392] ひへん
[ 821,  357] 2
[ 821,  575] 3
[ 906,  166] ここは苔 賀易の町として裟えた
[ 950,  394] さかえた
[ 950,  609] そなえた
[ 950,  828] かかえた
[ 952,  176] つかえた
[ 952,  574] 3
[ 953,  357] 2
[1088,  122] 表記 Orhography
[1154,  197] の言葉を漢宇で書くとき 最もよいものを1・2・3・4から一つ選びなさい_
[1256,  162] 予算の関係で; 計画をへんこうすることにした。
[1302,  174] 返更
[1302,  390] 返硬
[1302,  608] 変更
[1302,  826] 変硬
[1304,  574] 3
[1305,  357] 2
[1307,  793] 4
[1389,  166] 上司にパーティーの参加者めいぼを作成するよう指示された。
[1393,  117] 2
[1434,  172] 名薄
[1434,  356] 2 名ほ
[1434,  574] 3 名録
[1434,  792] 4 名禄
[1519,  160] 私の両親は奥茶店をいとなんでいる。
[1568,  138] 1 営んで
[1568,  390] 経んで
[1568,  610] 商んで
[1568,  826] 業んで
[1571,  357] 2
[1571,  575] 3
[1668,  106] 22
