[ 108,  910] 目標解答時間 10分
[ 112,    9] 1
[ 113,  140] 第1週
[ 113,  339] 5日目
[ 162, 1076] 日
[ 201,  121] 漢字読み Kanjireading
[ 276,  198] の言葉の読み方として最もよいものを、
[ 276,  598] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 昌
[ 369,  157] 迎込ず家族会貝て血ウを町せことにしている
[ 420,  390] かこむ
[ 420,  574] 3 くむ
[ 420,  830] こむ
[ 422,  792] 4
[ 423,  357] 2
[ 508,  164] この川は浅いので飛び込まないでください。
[ 552,  174] あさい
[ 552,  390] せまい
[ 552,  610] あつい
[ 554,  138] 1
[ 554,  828] ふかい
[ 555,  357] 2
[ 555,  575] 3
[ 640,  164] このスーパーは タ方G時以降になると肉や魚が割引になる。
[ 685,  173] かつひき
[ 685,  392] かつびき
[ 685,  609] わりひき
[ 685,  828] わりびき
[ 688,  574] 3
[ 689,  357] 2
[ 689,  793] 1
[ 774,  164] 両親のけんかをと裁した。
[ 818,  175] ちゅうさい
[ 818,  392] ちゅうざい
[ 818,  612] ちょうさい
[ 818,  830] ちょうざい
[ 820,  356] 2
[ 820,  574] 3
[ 820,  792] 4
[ 906,  164] あなたの整直な意見を問かせてください。
[ 950,  174] すっちょく
[ 950,  392] すなお
[ 950,  610] そっちょく
[ 950,  792] 4 そなお
[ 952,  356] 2
[ 952,  574] 3
[ 955,  139] 1
[1088,  122] 表記 Orhography
[1154,  197] の言葉を漢宇で書くとき 最もよいものを1・2・3・4から一つ選びなさい_
[1256,  162] 職場の人間関係になやんでいる。
[1302,  172] 僧んで
[1302,  390] 根んで
[1302,  610] バんで
[1302,  826] 怜んで
[1305,  357] 2
[1305,  575] 3
[1390,  164] この国は経済成長がいちじるしい。
[1393,  117] 2
[1434,  138] 1 者しい
[1434,  608] 箸しい
[1434,  824] 若しい
[1436,  390] 響しい
[1436,  574] 3
[1439,  357] 2
[1439,  793] 4
[1515,  321] めん
[1522,  162] 先週 車の速転免許をしゅとくした
[1568,  172] 手特
[1568,  356] 2 手得
[1568,  608] 取特
[1568,  826] 取得
[1570,  138] 1
[1571,  575] 3
[1571,  793] 4
[1668,  106] 24
