[ 108,  910] 目標解答時間 10分
[ 111,  140] 第2週
[ 113,  339] 5日目
[ 114,   12] 1
[ 162, 1078] 日
[ 204,  122] 文脈規定 Contextually-defined expressions
[ 276,  230] に入れるのに最もよいものを
[ 276,  542] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 亀
[ 358,  207] ト先の山岸就譲は
[ 373,  465] )なので 仕事が早い。
[ 376,  162] バイ
[ 402,   16] 昌
[ 420,  174] ベテラン
[ 420,  392] テクニック
[ 420,  612] アドバイス
[ 420,  830] コントロール
[ 423,  141] 1
[ 423,  357] 2
[ 423,  575] 3
[ 423,  793] 4
[ 506,  386] このスープを飲むと体が
[ 508,  166] どんなに寒い日でも
[ 508,  712] )する。
[ 552,  610] にこにこ
[ 552,  826] ぽかぽか
[ 554,  174] ぶかぶか
[ 554,  392] いらいら
[ 555,  575] 3
[ 557,  359] 2
[ 635,  161] 菊でたじゃがいもを (
[ 640,  444] ) サラダを作った。
[ 681,  825] 傷つけて
[ 684,  174] 刈って
[ 686,  394] つぶして
[ 686,  610] 区切って
[ 689,  357] 2
[ 689,  575] 3
[ 772,  162] 子どもが 「大人になったらお母さんを守るよ。」 と (
[ 772,  745] ) ことを言ってくれた。
[ 809,  177] くわ
[ 809,  395] ii
[ 818,  174] 群しい
[ 818,  392] 甚だしい
[ 818,  610] 頼もしい
[ 818,  828] ふさわしい
[ 821,  357] 2
[ 821,  575] 3
[ 821,  793] 4
[ 906,  166] この電子辞書は高かったが
[ 906,  550] がいいので満足している。
[ 950,  390] 性能
[ 950,  792] 4 才能
[ 952,  172] 価値
[ 952,  610] 知恵
[ 953,  357] 2
[ 953,  575] 3
[1038,  164] あんなに仲がよかった大学の友人と、 卒業後 (
[1038,  690] ) 会わなくなった。
[1084,  176] うっとり
[1084,  394] くっきり
[1084,  610] めっきり
[1084,  792] 4 ぎっしり
[1087,  141] 1
[1087,  357] 2
[1087,  575] 3
[1171,  643] )でよく眠れる。
[1172,  164] ベッドを新しいものに変えたら とても (
[1216,  174] 快適
[1216,  392] 的雁
[1216,  610] 上品
[1216,  792] 4 高度
[1218,  574] 3
[1668,  106] 34
