[ 108,  910] 目標解答時間 10分
[ 111,  140] 第2週
[ 113,  337] 2日目
[ 114,   12] 1
[ 162, 1078] 日
[ 204,  122] 文脈規定 Contextually-defined expressions
[ 276,  230] に入れるのに最もよいものを
[ 276,  542] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 亀
[ 374,  164] この事件は
[ 374,  384] に盛んに取り上げられた。
[ 402,   16] 昌
[ 420,  392] マーケット
[ 420,  612] コレクション
[ 420,  830] プログラム
[ 422,  174] マスコミ
[ 423,  357] 2
[ 423,  575] 3
[ 423,  793] 4
[ 508,  116] 2
[ 508,  162] 熱で (
[ 508,  290] ) している子どもを病院に運んだ。
[ 551,  173] ずっしり
[ 552,  396] ぐったり
[ 552,  614] じっくり
[ 552,  832] ぐっすり
[ 555,  575] 3
[ 555,  793] 4
[ 557,  359] 2
[ 636,  162] この善類ですが データの数字に間達いがあるので
[ 640,  768] ) しておいてください。
[ 677,  613] うぜん
[ 684,  792] 4 改善
[ 686,  174] 計正
[ 686,  392] 公正
[ 686,  610] 修緒
[ 689,  357] 2
[ 689,  575] 3
[ 772,  162] 先華に電話番号を教えてもらったので、 今晩 (
[ 774,  690] ) かけてみよう。
[ 818,  174] たちまち
[ 818,  394] とっくに
[ 818,  574] 3 早速
[ 818,  826] あらかじめ
[ 821,  357] 2
[ 821,  793] 4
[ 893,  161] 高橋部長は、 お孫さんの証生や息子さんの結婚など
[ 897,  165] たかにし
[ 906,  755] ) ことが統いている。
[ 950,  390] 待ち遠しい
[ 950,  610] めでたい
[ 950,  828] なさけない
[ 952,  178] しめっぽい
[ 953,  357] 2
[ 953,  575] 3
[ 954,  792] 4
[1026,  483] な風が衛ギへと吹き抜けていった。
[1037,  161] 教室の窓を開けると、
[1040,  456] ))
[1083,  394] さわやか
[1084,  174] なだらか
[1084,  610] あきらか
[1084,  828] ゆたか
[1086,  574] 3
[1087,  141] 1
[1087,  357] 2
[1161,  161] 地震などの爽害時用の非常食は3日分を
[1166,  288] いり
[1172,  648] ) に準偽するといい。
[1216,  176] 目的
[1216,  394] 目印
[1216,  612] 目次
[1216,  830] 目安
[1218,  574] 3
[1219,  793] 4
[1668,  106] 28
