[ 112,  152] 言い換え類義 Paraphrases
[ 114, 1196] 1
[ 184,  224] の言葉に意味が最も近いものを、
[ 186,  558] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 275,  193] たかべ
[ 284,  190] 高山さんはしょっちゅう遅刻をする。
[ 320, 1198] 豊
[ 330,  168] 1 よく
[ 330,  420] まれに
[ 330,  638] たまに
[ 330,  820] 4 やや
[ 333,  385] 2
[ 333,  603] 3
[ 403, 1201] 昌
[ 416,  190] 父はくたびれた機子で家を出ていった。
[ 421,  147] 2
[ 462,  204] つかれた
[ 462,  420] はりきった
[ 462,  636] なまけた
[ 462,  856] みたされた
[ 465,  385] 2
[ 465,  603] 3
[ 465,  821] 4
[ 549,  192] この二つの言葉は意味がひとしい。
[ 594,  202] 似ている
[ 594,  636] 遊だ
[ 594,  856] 同じだ
[ 596,  384] 2 異なる
[ 599,  603] 3
[ 682,  190] 今日の誠合の結果はあわれなものだった。
[ 727,  635] 気の毒な
[ 728,  200] 危うい
[ 728,  420] くだらない
[ 728,  854] 好調な
[ 731,  385] 2
[ 731,  603] 3
[ 816,  190] かげで悪口を言うのはよくない。
[ 819,  145] 5
[ 860,  202] その人がいない場所
[ 860,  637] その人に闘こえる場所
[ 904,  204] 日光が当たらない場所
[ 904,  636] 大勢がいる場所
[ 909,  171] 3
[1668, 1098] 29
