[ 112,  152] 言い換え類義 Paraphrases
[ 114, 1196] 1
[ 184,  224] の言葉に意味が最も近いものを、
[ 186,  558] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 281,  188] 厳しい現状をなげくよりも、 それをどう改善していくかを考えるべきだ
[ 317,  635] 後梅する
[ 320, 1198] 畳
[ 325,  852] 反省する
[ 328,  200] 気にする
[ 328,  418] 悲しむ
[ 333,  385] 2
[ 333,  603] 3
[ 403, 1201] :
[ 416,  189] 友人からおそろしい話を聞いた。
[ 462,  202] おもしろい
[ 462,  422] くやしい
[ 462,  640] こわい
[ 462,  858] うまい
[ 464,  820] 4
[ 465,  167] 1
[ 465,  385] 2
[ 465,  603] 3
[ 549,  192] 自分はどちらかというと; 陽気な性格だと思う。
[ 594,  418] おおざっぱな
[ 594,  638] あたたかい
[ 594,  856] 生意気な
[ 596,  200] 明るい
[ 598,  384] 2
[ 599,  603] 3
[ 682,  190] みんなで集まり 故人について語り合った。
[ 727,  200] 特別な人
[ 727,  602] 2 偉大な人
[ 731,  167] 1
[ 772,  204] よく知っている人
[ 772,  636] 亡くなった人
[ 774,  602] 4
[ 849,  191] 齢さんはいつ8遅刻してくるが; の定
[ 860,  632] 今日も遅れてやってきた
[ 863,  145] 5
[ 904,  420] ようやく
[ 904,  640] しきりに
[ 906,  202] やはり
[ 906,  384] 2
[ 906,  856] いっせいに
[ 909,  605] 3
[1668, 1098] 33
