[ 108,  910] 目標解答時間 10分
[ 112,    9] 1
[ 113,  140] 第1週
[ 113,  337] 3日目
[ 162, 1076] 日
[ 201,  121] 漢字読み Kanjireading
[ 276,  198] の言葉の読み方として最もよいものを、
[ 276,  598] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 昌
[ 374,  162] 黒い雲が出てきて; 急激に天候が悪化した。
[ 420,  174] きゅうけき
[ 420,  356] 2 きゅうげき
[ 420,  574] 3 きっけき
[ 420,  828] きっげき
[ 422,  140] 1
[ 422,  792] 4
[ 508,  164] いつか砂うを旅してみたいです。
[ 552,  178] じゃまく
[ 552,  394] じゃばく
[ 552,  574] 3 さまく
[ 552,  828] さばく
[ 554,  792] 4
[ 557,  359] 2
[ 639,  161] 容器の底に汚れが付いています。
[ 686,  138] 1 そこ
[ 686,  356] 2 ふた
[ 686,  574] 3 おもて
[ 686,  828] ふち
[ 688,  792] 1
[ 772,  162] 潔く自分の負けを認めなさい。
[ 814,  388] いざきよく
[ 814,  826] いさきよく
[ 818,  171] いざぎよく
[ 818,  610] いさぎよく
[ 820,  356] 2
[ 820,  574] 3
[ 821,  141] 1
[ 821,  793] 4
[ 905,  161] 仕事を定工したら
[ 906,  364] 上司に報告しよう。
[ 950,  608] かくりょう
[ 950,  826] かくてい
[ 952,  174] かんりょう
[ 952,  392] かんてい
[ 952,  574] 3
[ 954,  792] 4
[ 955,  359] 2
[1088,  122] 表記 Orhography
[1154,  197] の言葉を漢宇で書くとき 最もよいものを1・2・3・4から一つ選びなさい。
[1255,  163] あなたのことがにくくて こんなことを言っているのではありません。
[1300,  792] 4 僧くて
[1302,  138] 1 増くくて
[1302,  356] 2 僧くくて
[1302,  574] 3 増くて
[1390,  162] パーティーはせいだいに行われた。
[1393,  117] 2
[1434,  356] 2  成大
[1434,  826] 成台
[1436,  172] 盛大
[1436,  574] 3 盛台
[1439,  139] 1
[1439,  793] 4
[1521,  159] 効率的ないりよ之システムを整えることが必愛だ。
[1568,  174] 歴療
[1568,  356] 2 雁寒
[1568,  608] 医療
[1568,  828] 医日
[1570,  138] 1
[1571,  575] 3
[1571,  793] 4
[1668,  106] 20
