[ 108,  910] 目標解答時間 10分
[ 112,    9] 1
[ 113,  140] 第1週
[ 113,  337] 2日目
[ 162, 1076] 日
[ 201,  121] 漢字読み Kanjireading
[ 276,  198] の言葉の読み方として最もよいものを、
[ 276,  598] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 昌
[ 372,  162] スポーツには速さや得点だけでなく、 演技の美しさを藍之ものもある。
[ 420,  171] あらそう
[ 420,  356] 2 きそう
[ 420,  609] たたかう
[ 420,  828] ねらう
[ 422,  140] 1
[ 422,  792] 4
[ 423,  575] 3
[ 508,  162] 先生が鮮やかな色のセーターを着ている。
[ 552,  174] あざやか
[ 552,  392] おだやか
[ 552,  610] なごやか
[ 552,  828] はなやか
[ 554,  138] 1
[ 555,  357] 2
[ 555,  575] 3
[ 627,  161] 未村さんは車の運転がち晃であぶない。
[ 684,  614] らんばく
[ 684,  832] らんぼう
[ 686,  176] ろんばく
[ 686,  394] ろんぼう
[ 689,  357] 2
[ 769,  160] 蒸に着るなら 綿100%のシャツがよい。
[ 818,  174] すばた
[ 818,  394] すはだ
[ 818,  610] そばた
[ 818,  830] そはだ
[ 821,  357] 2
[ 821,  575] 3
[ 906,  164] 国会での首槌の発言に注目が集まった
[ 950,  178] しゅそう
[ 950,  396] しゅうそう
[ 950,  612] しゅしょう
[ 950,  832] しゅうしょう
[ 953,  575] 3
[ 955,  359] 2
[1088,  122] 表記 Orhography
[1154,  197] の言葉を漢宇で書くとき 最もよいものを1・2・3・4から一つ選びなさい_
[1257,  161] 頭痛がひどかったので
[1257,  406] 医者にみてもらった。
[1302,  140] 1 視て
[1302,  356] 2 観て
[1302,  574] 3 看て
[1302,  792] 4 診て
[1390,  164] ここは人通りも少なく高い建物もない 花火見物のあなばだ。
[1393,  117] 2
[1434,  138] 1 穴場
[1434,  390] 究場
[1434,  574] 3 穴揚
[1434,  828] 究揚
[1439,  357] 2
[1522,  164] ここ数年、 やっと景気がかいふくしてきた。
[1568,  138] 1 快複
[1568,  356] 2  回複
[1568,  608] 快復
[1568,  828] 回復
[1571,  575] 3
[1668,  108] 18
