[ 112,  152] 言い換え類義 Paraphrases
[ 114, 1196] 1
[ 184,  224] の言葉に意味が最も近いものを、
[ 186,  558] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 275,  569] せいこ;
[ 283,  192] あらゆる方法を試したが その実験は成功しなかった。
[ 317,  417] }築の
[ 319, 1197] 昌
[ 330,  202] 最新の
[ 330,  636] 全ての
[ 330,  858] 一部の
[ 333,  385] 2
[ 333,  603] 3
[ 416,  192] その歌手の見事な歌声に観客は涙を流した。
[ 453,  205] けんめり
[ 462,  202] 懸命な
[ 462,  418] 柔らかい
[ 462,  636] 独特な
[ 462,  856] 蒸晴らしい
[ 465,  385] 2
[ 465,  603] 3
[ 465,  821] 4
[ 550,  190] その店のケーキは評判がいい。
[ 594,  418] 値段が高い
[ 594,  638] 見た目がいい
[ 596,  202] 人気がある
[ 596,  856] 味がいい
[ 599,  385] 2
[ 683,  192] この動物の動きはにぶい。
[ 719,  443] ばゃ
[ 728,  202] かわいらしい
[ 728,  418] 蒸早い
[ 728,  636] 弱々しい
[ 728,  856] のろい
[ 731,  385] 2
[ 731,  603] 3
[ 816,  190] 尼の痛みを三らえて山を降りた。
[ 860,  202] やわらげて
[ 860,  418] がまんして
[ 860,  636] 志れて
[ 860,  856] 感じて
[ 863,  167] 1
[ 865,  387] 2
[1668, 1098] 27
