[ 108,  910] 目標解答時間 10分
[ 112,    9] 1
[ 113,  140] 第1週
[ 122,  344] 1
[ 127,  383] 日目
[ 162, 1076] 日
[ 201,  121] 漢字読み Kanjireading
[ 276,  198] の言葉の読み方として最もよいものを、
[ 276,  598] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 昌
[ 369,  159] 父よじg私の気持ちをどぼしてくれた。
[ 420,  392] そんちょう
[ 420,  610] ぞんじゅう
[ 420,  828] ぞんちょう
[ 422,  356] 2
[ 422,  792] 4
[ 423,  575] 3
[ 499,  165] けんか
[ 506,  163] 玄関に人の気配を感じたが雄もいなかった。
[ 552,  174] きはい
[ 552,  392] きばい
[ 552,  610] けはい
[ 552,  830] けばい
[ 555,  357] 2
[ 555,  575] 3
[ 640,  162] 不注意やスピード違反が交通事故の原因の大半を占めている。
[ 684,  610] さだめて
[ 686,  178] しめて
[ 686,  394] うめて
[ 686,  828] おさめて
[ 689,  357] 2
[ 689,  575] 3
[ 760,  161] その緋優の送い演技に魅子される人は多い。
[ 818,  174] するどい
[ 818,  392] こまかい
[ 818,  610] あわい
[ 818,  832] しぶい
[ 821,  357] 2
[ 821,  575] 3
[ 906,  162] 手紙を出したが ,先不明で戻ってきてしまった
[ 950,  173] あてさき
[ 950,  390] あてざき
[ 950,  609] えんさき
[ 950,  828] えんざき
[ 953,  357] 2
[ 953,  575] 3
[ 954,  138] 1
[1087,  121] 表記 Orthography
[1154,  197] の言葉を漢宇で書くとき 最もよいものを1・2・3・4から一つ選びなさい_
[1256,  162] 犯人は警察にたいほされた。
[1302,  172] 速補
[1302,  390] 建補
[1302,  610] 速捕
[1302,  828] 建捕
[1305,  357] 2
[1305,  577] 3
[1381,  165] にっかいとうう
[1390,  162] 北海道の冬は寒さがきびしい。
[1393,  117] 2
[1434,  172] 寂しい
[1434,  390] 貧しい
[1434,  608] 激しい
[1434,  828] 厳しい
[1439,  139] 1
[1439,  357] 2
[1521,  161] 地震による被害を受けた地域に多額のきふをした
[1568,  138] 1 奇付
[1568,  356] 2 寄付
[1568,  574] 3 奇符
[1568,  826] 寄符
[1570,  792] 4
[1668,  108] 16
