[ 108,  910] 目標解答時間 10分
[ 111,  140] 第2週
[ 113,  337] 3日目
[ 114,   12] 1
[ 162, 1078] 日
[ 204,  122] 文脈規定 Contextually-defined expressions
[ 276,  230] に入れるのに最もよいものを
[ 276,  542] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 亀
[ 371,  335] ) ないたずらに対して; 本気で怒ってしまった
[ 374,  162] 子どもの (
[ 402,   16] 昌
[ 411,  179] へぃげん
[ 411,  619] しし
[ 418,  172] 平凡
[ 418,  610] 無邪気
[ 420,  390] 純情
[ 420,  826] 不器用
[ 422,  356] 2
[ 423,  575] 3
[ 506,  337] 服装で会社に来ないでください。
[ 508,  164] そんな
[ 509,  117] 2
[ 541,  607] 潰らかな
[ 551,  828] だらしない
[ 552,  174] 身近な
[ 552,  392] ずうずうしい
[ 554,  574] 3
[ 555,  357] 2
[ 640,  162] 温泉旅館でゆっくり過ごして 大変 (
[ 640,  600] )できました。
[ 686,  140] 1 ミックス
[ 686,  392] オーバー
[ 686,  612] リラックス
[ 686,  830] カバー
[ 688,  574] 3
[ 689,  357] 2
[ 689,  793] 1
[ 772,  162] 外国から帰ってきたら 時間の感覚がすっかり
[ 774,  712] ) しまった
[ 818,  174] 狂って
[ 818,  390] 破れて
[ 818,  607] 交わって
[ 818,  828] 外れて
[ 821,  357] 2
[ 821,  575] 3
[ 895,  163] ‥郎くんと奈々子さんは新婚
[ 899,  167] ‥うふ
[ 906,  535] )のカップルだ。
[ 950,  574] 3 ぎりぎり
[ 952,  173] にやにや
[ 952,  390] ほやほや
[ 952,  828] ふわふわ
[ 955,  359] 2
[1038,  236] ) その日は化しいので 翠日うかがってもよろしいでしょうか。
[1083,  609] ながらく
[1083,  826] あいにく
[1084,  174] せっかく
[1084,  396] しばらく
[1086,  792] 4
[1087,  357] 2
[1087,  575] 3
[1167,  317] は暖かいので 3月の初めには桜がきはじめるそうだ。
[1174,  164] この (
[1216,  174] 地方
[1216,  392] 方向
[1216,  828] 団体
[1218,  574] 3
[1218,  608] 分野
[1219,  793] 4
[1221,  357] 2
[1668,  106] 30
