[ 108,  910] 目標解答時間 10分
[ 111,  140] 第2週
[ 114,   12] 1
[ 122,  344] 1
[ 129,  383] 日目
[ 162, 1078] 日
[ 204,  122] 文脈規定 Contextually-defined expressions
[ 276,  230] に入れるのに最もよいものを
[ 276,  542] 1 ・2 ・ 3・ 4から一つ選びなさい。
[ 318,   14] 豊
[ 374,  164] その高校は時代に合わせて校則の一部を
[ 376,  644] ) した。
[ 402,   16] 8
[ 420,  170] 校正
[ 420,  356] 2 変換
[ 420,  610] 改正
[ 420,  828] 変形
[ 423,  575] 3
[ 506,  162] 妹は何年も仕事をしないで 今日も (
[ 508,  602] ) 寝ている。
[ 552,  174] 気軽に
[ 552,  392] のんきに
[ 552,  608] 単調に
[ 552,  830] でたらめに
[ 555,  357] 2
[ 555,  575] 3
[ 640,  164] もっと
[ 640,  340] に話せるようになりたい。
[ 686,  176] ニュアンス
[ 686,  394] リズム
[ 686,  610] スムーズ
[ 686,  830] テンポ
[ 689,  357] 2
[ 689,  575] 3
[ 772,  161] 初めて恋人の親に会うので 繁張して (
[ 772,  622] ) してしまう。
[ 818,  173] そわそわ
[ 818,  392] やれやれ
[ 818,  612] わいわい
[ 818,  830] でれでれ
[ 821,  357] 2
[ 821,  575] 3
[ 906,  162] 台風で木が倒れて道が
[ 906,  468] )いる。
[ 950,  174] とじて
[ 950,  394] つまって
[ 950,  612] しまって
[ 950,  828] ふさがって
[ 953,  357] 2
[ 953,  575] 3
[ 955,  139] 1
[1038,  162] 不安だったが 親に
[1038,  444] )本音を言った。
[1084,  174] 思い込んで
[1084,  392] 思い切って
[1084,  608] 思いあがって
[1084,  828] 思いついて
[1087,  357] 2
[1087,  575] 3
[1172,  162] 病院で注射を州がり、 いつも激しくー抗する娘が 今日は
[1172,  824] ) 座っていた
[1215,  830] うらやましく
[1216,  138] 1 やかましく
[1216,  392] そうぞうしく
[1216,  610] おとなしく
[1218,  574] 3
[1218,  792] 4
[1219,  357] 2
[1668,  106] 26
